user_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
U1086,50,1,51.55,1,1,1,Lost
U1087,11,3,678.03,4,4,4,Champions
U1088,3,3,401.09000000000003,5,4,3,Champions
U1089,45,1,162.96,1,1,1,Lost
U1090,40,2,510.47,1,2,3,At Risk
U1091,12,3,695.61,4,4,4,Champions
U1092,32,1,182.37,2,1,1,Lost
U1093,33,1,117.98,2,1,1,Lost
U1094,12,2,486.96000000000004,4,2,3,Loyal
U1096,33,1,494.11,2,1,3,At Risk
U1097,8,2,148.69,4,2,1,At Risk
U1098,25,1,481.3,3,1,3,At Risk
U1100,29,1,448.61,2,1,3,At Risk
U1101,14,5,995.14,4,5,5,Champions
U1102,11,3,1031.9,4,4,5,Champions
U1103,7,2,653.0899999999999,5,2,4,Loyal
U1105,17,2,554.46,3,2,4,Loyal
U1106,7,3,607.24,5,4,4,Champions
U1107,39,2,763.4300000000001,1,2,4,At Risk
U1109,8,4,1079.32,4,5,5,Champions
U1111,2,1,232.19,5,1,2,At Risk
U1112,20,4,672.9,3,5,4,Champions
U1113,30,1,431.46,2,1,3,At Risk
U1114,23,3,738.09,3,4,4,Loyal
U1115,38,1,21.34,2,1,1,Lost
U1117,23,2,560.85,3,2,4,Loyal
U1118,35,1,200.91,2,1,1,Lost
U1121,23,3,1008.03,3,4,5,Champions
U1123,23,2,589.13,3,2,4,Loyal
U1124,38,1,399.53,2,1,3,At Risk
U1125,27,3,874.75,2,4,5,Loyal
U1126,50,1,288.68,1,1,2,Lost
U1127,6,2,455.95000000000005,5,2,3,Loyal
U1130,31,1,220.44,2,1,1,Lost
U1131,16,3,497.75,3,4,3,Loyal
U1132,23,2,352.48,3,2,2,At Risk
U1133,16,2,315.34000000000003,3,2,2,At Risk
U1134,7,1,466.16,5,1,3,Loyal
U1135,1,3,1063.94,5,4,5,Champions
U1137,40,3,389.65999999999997,1,4,3,At Risk
U1140,27,2,768.1400000000001,2,2,4,At Risk
U1141,56,1,125.72,1,1,1,Lost
U1142,44,2,653.49,1,2,4,At Risk
U1143,30,1,309.38,2,1,2,Lost
U1145,18,3,689.28,3,4,4,Loyal
U1146,38,1,186.89,2,1,1,Lost
U1147,28,2,501.06,2,2,3,At Risk
U1148,15,2,249.24,4,2,2,At Risk
U1149,47,1,39.0,1,1,1,Lost
U1151,6,3,349.02,5,4,2,Loyal
U1152,51,1,37.46,1,1,1,Lost
U1153,50,1,202.35,1,1,1,Lost
U1154,54,1,362.9,1,1,2,Lost
U1155,36,3,716.62,2,4,4,Loyal
U1157,5,1,217.84,5,1,1,At Risk
U1159,15,3,697.72,4,4,4,Champions
U1161,21,3,895.5699999999999,3,4,5,Champions
U1163,54,1,175.48,1,1,1,Lost
U1164,43,2,286.52,1,2,2,Lost
U1165,17,1,323.47,3,1,2,At Risk
U1166,15,3,854.47,4,4,5,Champions
U1167,39,1,366.11,1,1,2,Lost
U1170,47,2,839.91,1,2,5,At Risk
U1172,18,3,742.63,3,4,4,Loyal
U1173,39,2,409.49,1,2,3,At Risk
U1174,4,1,243.7,5,1,2,At Risk
U1176,21,3,446.22,3,4,3,Loyal
U1177,15,3,681.47,4,4,4,Champions
U1179,3,2,444.78999999999996,5,2,3,Loyal
U1180,2,2,777.4200000000001,5,2,5,Champions
U1183,14,1,171.79,4,1,1,At Risk
U1184,21,2,534.6899999999999,3,2,4,Loyal
U1185,44,3,1162.49,1,4,5,Loyal
U1186,19,3,680.13,3,4,4,Loyal
U1188,3,1,364.39,5,1,2,At Risk
U1189,9,3,330.96,4,4,2,Loyal
U1190,15,1,126.22,4,1,1,At Risk
U1191,50,1,83.82,1,1,1,Lost
U1193,53,1,458.22,1,1,3,Lost
U1194,49,1,342.47,1,1,2,Lost
U1195,54,1,490.44,1,1,3,Lost
U1196,37,1,206.97,2,1,1,Lost
U1197,26,2,222.35000000000002,2,2,1,Lost
U1199,20,3,943.65,3,4,5,Champions
U1200,9,1,34.18,4,1,1,At Risk
U1202,16,1,37.66,3,1,1,Lost
U1203,14,1,54.12,4,1,1,At Risk
U1204,24,3,279.81,3,4,2,Loyal
U1205,9,1,209.55,4,1,1,At Risk
U1206,52,1,53.75,1,1,1,Lost
U1207,8,1,171.23,4,1,1,At Risk
U1208,50,1,60.95,1,1,1,Lost
U1209,39,2,773.6700000000001,1,2,4,At Risk
U1211,3,4,838.18,5,5,5,Champions
U1212,12,1,409.4,4,1,3,At Risk
U1213,36,1,62.94,2,1,1,Lost
U1215,6,1,17.7,5,1,1,At Risk
U1217,31,2,669.6800000000001,2,2,4,At Risk
U1218,2,2,883.26,5,2,5,Champions
U1219,35,2,371.36,2,2,2,At Risk
U1220,37,2,853.44,2,2,5,Loyal
U1222,7,3,836.03,5,4,5,Champions
U1223,28,2,732.48,2,2,4,At Risk
U1224,31,1,277.93,2,1,2,Lost
U1225,20,2,214.69,3,2,1,At Risk
U1227,29,2,280.84,2,2,2,At Risk
U1229,14,3,645.28,4,4,4,Champions
U1231,32,3,722.3,2,4,4,Loyal
U1232,21,3,794.3399999999999,3,4,5,Champions
U1233,20,1,409.1,3,1,3,At Risk
U1234,22,2,753.44,3,2,4,Loyal
U1235,16,2,527.6,3,2,4,Loyal
U1236,29,2,491.24,2,2,3,At Risk
U1237,17,2,245.26,3,2,2,At Risk
U1239,8,2,285.71000000000004,4,3,2,Loyal
U1240,11,1,128.51,4,1,1,At Risk
U1241,8,2,325.77,4,3,2,Loyal
U1243,3,3,695.95,5,4,4,Champions
U1244,30,1,10.13,2,1,1,Lost
U1245,6,4,1202.85,5,5,5,Champions
U1246,9,4,1351.31,4,5,5,Champions
U1247,9,4,1057.26,4,5,5,Champions
U1248,23,1,51.7,3,1,1,Lost
U1249,36,2,690.48,2,3,4,Loyal
U1250,33,2,144.94,2,3,1,At Risk
U1252,18,3,617.1800000000001,3,4,4,Loyal
U1253,45,1,55.69,1,1,1,Lost
U1254,21,2,139.22,3,3,1,At Risk
U1256,16,5,1353.95,3,5,5,Champions
U1257,36,1,255.33,2,1,2,Lost
U1258,5,3,1243.23,5,4,5,Champions
U1260,45,1,30.64,1,1,1,Lost
U1262,3,3,662.1700000000001,5,4,4,Champions
U1263,12,2,294.3,4,3,2,Loyal
U1265,33,1,150.09,2,1,1,Lost
U1266,35,2,510.66,2,3,3,At Risk
U1267,40,2,760.77,1,3,4,At Risk
U1268,6,3,597.98,5,4,4,Champions
U1269,6,1,269.59,5,1,2,At Risk
U1270,11,1,190.82,4,1,1,At Risk
U1271,32,1,442.26,2,1,3,At Risk
U1272,4,2,343.39,5,3,2,Loyal
U1273,14,4,1098.34,4,5,5,Champions
U1274,26,2,222.56,2,3,1,At Risk
U1275,51,1,78.02,1,1,1,Lost
U1276,42,2,517.01,1,3,3,At Risk
U1277,6,4,1312.1599999999999,5,5,5,Champions
U1278,23,2,861.95,3,3,5,Loyal
U1279,36,1,15.89,2,1,1,Lost
U1280,4,1,118.78,5,1,1,At Risk
U1282,30,3,896.16,2,4,5,Loyal
U1283,9,2,760.6800000000001,4,3,4,Loyal
U1284,4,4,1242.51,5,5,5,Champions
U1285,45,1,419.63,1,1,3,Lost
U1286,59,1,382.9,1,1,2,Lost
U1287,22,3,713.05,3,4,4,Loyal
U1289,24,1,320.05,3,1,2,At Risk
U1291,30,3,376.07,2,4,2,At Risk
U1292,15,1,307.68,4,1,2,At Risk
U1293,12,3,796.41,4,4,5,Champions
U1294,35,1,441.41,2,1,3,At Risk
U1295,26,2,492.62,2,3,3,At Risk
U1296,24,2,496.97,3,3,3,Loyal
U1297,9,2,774.5,4,3,4,Loyal
U1299,1,3,694.13,5,4,4,Champions
U1300,6,3,796.45,5,4,5,Champions
U1301,13,2,322.1,4,3,2,Loyal
U1302,23,1,333.51,3,1,2,At Risk
U1303,6,4,1192.55,5,5,5,Champions
U1304,20,2,368.14,3,3,2,At Risk
U1305,1,1,340.45,5,1,2,At Risk
U1306,14,1,478.94,4,1,3,At Risk
U1307,21,2,416.93,3,3,3,Loyal
U1308,37,1,417.69,2,1,3,At Risk
U1309,4,2,723.0,5,3,4,Champions
U1310,3,3,653.8,5,4,4,Champions
U1313,22,2,738.95,3,3,4,Loyal
U1314,18,1,350.12,3,1,2,At Risk
U1315,16,1,112.3,3,1,1,Lost
U1316,3,1,411.87,5,1,3,Loyal
U1317,10,2,872.67,4,3,5,Champions
U1318,24,3,527.03,3,4,4,Loyal
U1321,4,2,619.27,5,3,4,Champions
U1322,4,2,700.87,5,3,4,Champions
U1323,20,2,714.03,3,3,4,Loyal
U1324,23,2,365.08,3,3,2,At Risk
U1326,28,1,272.86,2,1,2,Lost
U1327,5,1,220.84,5,1,1,At Risk
U1328,60,1,297.85,1,1,2,Lost
U1329,25,1,488.29,3,1,3,At Risk
U1331,36,2,280.7,2,3,2,At Risk
U1332,39,2,929.96,1,3,5,Loyal
U1333,5,3,1080.19,5,4,5,Champions
U1334,12,1,341.97,4,1,2,At Risk
U1335,26,2,386.85,2,3,2,At Risk
U1337,36,4,1385.48,2,5,5,Champions
U1339,39,1,79.54,1,1,1,Lost
U1341,16,2,303.76,3,3,2,At Risk
U1342,39,1,87.46,1,1,1,Lost
U1344,9,1,83.41,4,1,1,At Risk
U1345,19,3,693.17,3,4,4,Loyal
U1346,32,2,429.74,2,3,3,At Risk
U1347,47,1,312.72,1,1,2,Lost
U1348,18,2,435.52,3,3,3,Loyal
U1351,26,3,642.94,2,4,4,Loyal
U1352,54,1,173.12,1,1,1,Lost
U1353,6,1,21.69,5,1,1,At Risk
U1354,1,1,272.2,5,1,2,At Risk
U1355,37,2,419.71,2,3,3,At Risk
U1356,2,4,930.3299999999999,5,5,5,Champions
U1357,18,2,516.84,3,3,3,Loyal
U1358,27,1,77.14,2,1,1,Lost
U1359,4,5,769.09,5,5,4,Champions
U1360,36,1,222.47,2,1,1,Lost
U1361,41,1,145.03,1,1,1,Lost
U1362,22,1,351.75,3,1,2,At Risk
U1363,12,2,741.31,4,3,4,Loyal
U1365,28,2,308.08000000000004,2,3,2,At Risk
U1366,6,3,758.45,5,4,4,Champions
U1367,22,1,180.15,3,1,1,Lost
U1368,2,1,398.18,5,1,3,Loyal
U1369,28,2,764.94,2,3,4,Loyal
U1370,49,1,20.8,1,1,1,Lost
U1371,43,2,214.85000000000002,1,3,1,Lost
U1372,33,2,617.3399999999999,2,3,4,Loyal
U1373,59,2,734.21,1,3,4,At Risk
U1374,9,3,875.09,4,4,5,Champions
U1375,40,4,876.6400000000001,1,5,5,Loyal
U1376,2,1,92.61,5,1,1,At Risk
U1377,30,2,471.65000000000003,2,3,3,At Risk
U1378,38,4,1195.85,2,5,5,Champions
U1379,7,2,331.08000000000004,5,3,2,Loyal
U1380,51,2,745.98,1,3,4,At Risk
U1381,19,1,292.8,3,1,2,At Risk
U1384,31,3,540.0799999999999,2,4,4,Loyal
U1385,45,1,490.69,1,1,3,Lost
U1386,1,4,738.33,5,5,4,Champions
U1387,34,2,693.1899999999999,2,3,4,Loyal
U1388,55,1,209.61,1,1,1,Lost
U1389,14,1,343.61,4,1,2,At Risk
U1391,33,1,413.83,2,1,3,At Risk
U1392,1,3,306.33,5,4,2,Loyal
U1393,50,1,447.71,1,1,3,Lost
U1395,1,4,1164.06,5,5,5,Champions
U1396,22,1,492.95,3,1,3,At Risk
U1397,2,1,114.3,5,1,1,At Risk
U1398,39,2,333.14,1,3,2,At Risk
U1399,6,4,1265.28,5,5,5,Champions
U1400,50,1,84.99,1,1,1,Lost
U1401,13,2,696.53,4,3,4,Loyal
U1402,51,1,162.55,1,1,1,Lost
U1403,35,2,503.03,2,3,3,At Risk
U1405,8,2,195.91,4,3,1,At Risk
U1406,5,1,20.8,5,1,1,At Risk
U1407,16,3,1177.95,3,4,5,Champions
U1408,23,1,263.33,3,1,2,At Risk
U1410,4,2,560.13,5,3,4,Champions
U1411,10,2,306.34000000000003,4,3,2,Loyal
U1415,9,2,432.65999999999997,4,3,3,Loyal
U1416,27,2,285.36,2,3,2,At Risk
U1417,35,3,610.34,2,4,4,Loyal
U1418,1,5,1052.3600000000001,5,5,5,Champions
U1419,11,2,728.02,4,3,4,Loyal
U1420,3,1,475.3,5,1,3,Loyal
U1421,17,1,107.62,3,1,1,Lost
U1422,1,4,1259.52,5,5,5,Champions
U1423,51,2,170.82999999999998,1,3,1,Lost
U1424,4,3,1324.72,5,4,5,Champions
U1425,59,2,325.32,1,3,2,At Risk
U1426,11,3,496.74,4,4,3,Loyal
U1427,1,1,483.33,5,1,3,Loyal
U1428,19,4,1183.54,3,5,5,Champions
U1431,7,2,881.1400000000001,5,3,5,Champions
U1432,2,3,546.5,5,4,4,Champions
U1433,19,2,460.06,3,3,3,Loyal
U1434,41,3,614.36,1,4,4,Loyal
U1435,28,1,10.84,2,1,1,Lost
U1436,51,1,419.32,1,1,3,Lost
U1437,36,1,234.96,2,1,2,Lost
U1438,29,1,325.84,2,1,2,Lost
U1439,1,3,865.11,5,4,5,Champions
U1440,58,1,64.19,1,1,1,Lost
U1441,3,5,1148.87,5,5,5,Champions
U1442,29,1,480.72,2,1,3,At Risk
U1443,28,2,559.8299999999999,2,3,4,Loyal
U1444,58,1,462.68,1,1,3,Lost
U1446,3,5,820.45,5,5,5,Champions
U1447,3,4,460.46000000000004,5,5,3,Champions
U1448,6,4,937.26,5,5,5,Champions
U1449,11,4,855.8399999999999,4,5,5,Champions
U1451,25,3,1003.11,3,4,5,Champions
U1452,42,1,237.59,1,1,2,Lost
U1455,30,3,1122.1,2,4,5,Loyal
U1456,26,3,530.69,2,4,4,Loyal
U1457,22,2,400.36,3,3,3,Loyal
U1458,9,1,259.24,4,1,2,At Risk
U1459,1,1,20.32,5,1,1,At Risk
U1460,21,5,1671.47,3,5,5,Champions
U1461,58,1,76.92,1,1,1,Lost
U1462,35,2,602.64,2,3,4,Loyal
U1463,25,3,1156.93,3,4,5,Champions
U1464,7,5,895.28,5,5,5,Champions
U1467,35,1,282.2,2,1,2,Lost
U1468,4,5,1283.53,5,5,5,Champions
U1470,2,3,1177.54,5,4,5,Champions
U1471,3,3,547.97,5,4,4,Champions
U1472,46,1,419.2,1,1,3,Lost
U1473,51,1,223.85,1,1,1,Lost
U1476,19,1,76.81,3,1,1,Lost
U1477,18,2,83.69,3,3,1,At Risk
U1479,29,2,280.49,2,3,2,At Risk
U1480,44,1,274.86,1,1,2,Lost
U1481,28,1,37.95,2,1,1,Lost
U1482,11,4,1551.3,4,5,5,Champions
U1484,14,2,495.38,4,3,3,Loyal
U1485,35,2,484.31,2,3,3,At Risk
U1487,7,2,213.12,5,3,1,Loyal
U1488,2,3,785.94,5,4,5,Champions
U1489,11,3,1060.15,4,4,5,Champions
U1491,10,2,624.02,4,3,4,Loyal
U1492,22,1,326.32,3,1,2,At Risk
U1493,52,1,362.22,1,1,2,Lost
U1495,8,2,751.8399999999999,4,3,4,Loyal
U1497,60,1,169.36,1,1,1,Lost
U1498,48,2,391.70000000000005,1,3,3,At Risk
U1499,9,3,369.17,4,4,2,Loyal
U1500,19,1,337.62,3,1,2,At Risk
U1502,28,2,270.06,2,3,2,At Risk
U1503,54,1,133.99,1,1,1,Lost
U1504,4,4,1078.8400000000001,5,5,5,Champions
U1505,3,2,906.66,5,3,5,Champions
U1506,18,2,444.08,3,3,3,Loyal
U1507,17,1,27.58,3,1,1,Lost
U1510,47,1,191.01,1,1,1,Lost
U1512,31,2,652.84,2,3,4,Loyal
U1513,14,4,1182.58,4,5,5,Champions
U1514,5,3,1069.42,5,4,5,Champions
U1515,52,1,62.94,1,1,1,Lost
U1516,40,2,593.86,1,3,4,At Risk
U1517,6,2,567.0799999999999,5,3,4,Champions
U1518,19,1,70.05,3,1,1,Lost
U1519,9,4,1171.92,4,5,5,Champions
U1520,14,2,548.99,4,3,4,Loyal
U1521,10,2,737.45,4,3,4,Loyal
U1522,28,3,982.8399999999999,2,4,5,Loyal
U1523,32,2,680.51,2,3,4,Loyal
U1524,21,1,188.09,3,1,1,Lost
U1525,13,3,289.09000000000003,4,4,2,Loyal
U1526,48,1,224.68,1,1,2,Lost
U1527,21,2,311.58000000000004,3,3,2,At Risk
U1528,24,1,421.4,3,1,3,At Risk
U1530,4,5,1317.33,5,5,5,Champions
U1531,10,4,1225.63,4,5,5,Champions
U1532,36,1,38.81,2,1,1,Lost
U1535,2,2,907.29,5,3,5,Champions
U1538,20,2,134.4,3,3,1,At Risk
U1540,41,2,673.46,1,3,4,At Risk
U1541,45,1,203.48,1,1,1,Lost
U1544,5,1,201.96,5,1,1,At Risk
U1545,1,3,696.0,5,4,4,Champions
U1546,21,3,961.37,3,4,5,Champions
U1547,46,1,358.9,1,1,2,Lost
U1548,4,2,403.73,5,3,3,Loyal
U1549,1,3,537.1600000000001,5,4,4,Champions
U1550,60,1,284.88,1,1,2,Lost
U1551,11,4,538.78,4,5,4,Champions
U1552,28,1,188.59,2,1,1,Lost
U1554,19,2,472.86,3,3,3,Loyal
U1555,41,1,425.64,1,1,3,Lost
U1557,26,1,407.42,2,1,3,At Risk
U1558,33,4,1426.06,2,5,5,Champions
U1559,14,1,65.63,4,1,1,At Risk
U1560,8,1,368.54,4,1,2,At Risk
U1562,6,2,584.71,5,3,4,Champions
U1563,31,2,518.3,2,3,3,At Risk
U1564,38,1,52.37,2,1,1,Lost
U1565,39,1,294.62,1,1,2,Lost
U1566,43,1,491.84,1,1,3,Lost
U1567,6,4,1464.8600000000001,5,5,5,Champions
U1568,9,2,846.28,4,3,5,Champions
U1569,15,1,112.37,4,1,1,At Risk
U1570,13,2,706.4300000000001,4,3,4,Loyal
U1572,22,1,270.88,3,1,2,At Risk
U1574,18,1,485.53,3,1,3,At Risk
U1575,1,2,569.24,5,3,4,Champions
U1576,14,1,464.37,4,1,3,At Risk
U1577,1,5,1393.02,5,5,5,Champions
U1579,16,1,392.8,3,1,3,At Risk
U1580,22,3,735.49,3,4,4,Loyal
U1581,55,1,265.18,1,1,2,Lost
U1582,41,1,469.34,1,1,3,Lost
U1584,26,1,262.13,2,1,2,Lost
U1585,4,3,937.65,5,4,5,Champions
U1586,8,6,1855.3400000000001,4,5,5,Champions
U1588,25,1,331.93,3,1,2,At Risk
U1589,16,2,238.28,3,3,2,At Risk
U1590,12,3,969.5799999999999,4,4,5,Champions
U1591,8,2,451.28,4,3,3,Loyal
U1592,40,2,514.09,1,3,3,At Risk
U1593,32,3,983.38,2,4,5,Loyal
U1594,10,5,660.64,4,5,4,Champions
U1596,11,4,1072.35,4,5,5,Champions
U1598,13,1,229.77,4,1,2,At Risk
U1599,8,4,1281.37,4,5,5,Champions
U1600,20,3,461.9,3,4,3,Loyal
U1601,11,2,788.71,4,3,5,Champions
U1603,57,1,368.67,1,1,2,Lost
U1604,4,2,308.84000000000003,5,3,2,Loyal
U1606,28,2,531.34,2,3,4,Loyal
U1607,14,1,447.98,4,1,3,At Risk
U1608,21,2,479.93,3,3,3,Loyal
U1610,55,3,692.82,1,4,4,Loyal
U1611,1,2,465.25,5,3,3,Loyal
U1613,5,2,582.96,5,3,4,Champions
U1614,26,2,561.62,2,3,4,Loyal
U1615,47,2,419.52,1,3,3,At Risk
U1616,26,1,60.19,2,1,1,Lost
U1617,21,2,263.68,3,3,2,At Risk
U1619,26,2,303.55,2,3,2,At Risk
U1621,60,1,15.33,1,1,1,Lost
U1622,41,2,672.94,1,3,4,At Risk
U1623,11,2,523.37,4,3,3,Loyal
U1625,10,2,97.32,4,3,1,At Risk
U1627,17,3,747.3900000000001,3,4,4,Loyal
U1628,5,2,770.6800000000001,5,3,4,Champions
U1629,13,4,1074.96,4,5,5,Champions
U1630,4,1,273.42,5,1,2,At Risk
U1631,36,2,524.23,2,3,3,At Risk
U1632,25,3,412.72,3,4,3,Loyal
U1633,12,4,1391.83,4,5,5,Champions
U1636,53,1,450.36,1,1,3,Lost
U1637,39,1,263.82,1,1,2,Lost
U1638,4,2,113.96000000000001,5,3,1,Loyal
U1639,27,1,354.12,2,1,2,Lost
U1640,14,2,796.54,4,3,5,Champions
U1641,27,1,67.65,2,1,1,Lost
U1642,30,2,290.99,2,3,2,At Risk
U1643,42,1,290.69,1,1,2,Lost
U1646,11,1,393.21,4,1,3,At Risk
U1647,5,2,801.26,5,3,5,Champions
U1648,29,4,1060.94,2,5,5,Champions
U1649,50,1,337.76,1,1,2,Lost
U1650,16,2,232.13,3,3,2,At Risk
U1652,31,1,244.45,2,1,2,Lost
U1653,52,2,579.22,1,3,4,At Risk
U1654,50,1,320.23,1,1,2,Lost
U1655,7,3,648.67,5,4,4,Champions
U1656,34,4,1357.99,2,5,5,Champions
U1658,4,2,393.5,5,3,3,Loyal
U1659,45,2,133.19,1,3,1,Lost
U1660,21,2,591.78,3,3,4,Loyal
U1661,59,1,492.64,1,1,3,Lost
U1663,11,4,1284.28,4,5,5,Champions
U1664,46,1,424.5,1,1,3,Lost
U1665,1,4,1130.75,5,5,5,Champions
U1666,17,2,521.17,3,3,3,Loyal
U1668,45,2,303.05,1,3,2,At Risk
U1669,7,2,170.39,5,3,1,Loyal
U1670,17,2,338.69000000000005,3,3,2,At Risk
U1672,19,2,661.0999999999999,3,3,4,Loyal
U1674,33,2,505.30999999999995,2,3,3,At Risk
U1675,4,3,992.31,5,4,5,Champions
U1676,33,1,64.93,2,1,1,Lost
U1678,54,2,143.06,1,3,1,Lost
U1679,29,3,990.61,2,4,5,Loyal
U1680,34,3,571.3199999999999,2,4,4,Loyal
U1681,19,2,936.89,3,3,5,Loyal
U1682,28,1,324.04,2,1,2,Lost
U1683,41,1,318.26,1,1,2,Lost
U1684,20,3,1079.39,3,4,5,Champions
U1685,40,1,157.33,1,1,1,Lost
U1686,27,1,202.44,2,1,1,Lost
U1687,36,1,211.71,2,1,1,Lost
U1688,2,3,461.27,5,4,3,Champions
U1689,17,1,251.04,3,1,2,At Risk
U1690,1,2,749.01,5,3,4,Champions
U1691,37,2,475.7,2,3,3,At Risk
U1693,53,1,345.19,1,1,2,Lost
U1695,26,2,672.75,2,3,4,Loyal
U1697,42,1,12.68,1,1,1,Lost
U1699,36,2,525.87,2,3,4,Loyal
U1700,20,3,845.1800000000001,3,4,5,Champions
U1701,25,1,238.27,3,1,2,At Risk
U1702,26,2,427.32,2,3,3,At Risk
U1704,21,2,197.93,3,3,1,At Risk
U1705,22,1,325.94,3,1,2,At Risk
U1706,16,1,409.55,3,1,3,At Risk
U1707,43,2,453.78,1,3,3,At Risk
U1708,24,3,791.94,3,4,5,Champions
U1709,18,1,54.02,3,1,1,Lost
U1710,16,2,786.1,3,3,5,Loyal
U1711,8,3,975.91,4,4,5,Champions
U1712,15,2,495.66999999999996,4,3,3,Loyal
U1713,28,2,592.52,2,3,4,Loyal
U1714,25,4,1377.5,3,5,5,Champions
U1715,35,2,475.90999999999997,2,3,3,At Risk
U1716,6,1,386.75,5,1,2,At Risk
U1717,5,2,344.31,5,3,2,Loyal
U1718,1,2,369.11,5,3,2,Loyal
U1719,25,4,1373.67,3,5,5,Champions
U1720,2,3,1070.9299999999998,5,4,5,Champions
U1721,7,2,842.97,5,3,5,Champions
U1722,41,1,177.94,1,1,1,Lost
U1723,11,2,639.42,4,3,4,Loyal
U1724,6,3,1024.5,5,4,5,Champions
U1727,39,1,281.69,1,1,2,Lost
U1728,48,1,206.74,1,1,1,Lost
U1730,3,2,236.57,5,3,2,Loyal
U1731,27,2,396.68,2,3,3,At Risk
U1732,35,4,1220.99,2,5,5,Champions
U1734,13,1,143.48,4,1,1,At Risk
U1735,26,2,304.5,2,3,2,At Risk
U1737,19,2,611.28,3,3,4,Loyal
U1738,1,4,1103.55,5,5,5,Champions
U1739,13,4,869.83,4,5,5,Champions
U1740,60,1,485.19,1,1,3,Lost
U1741,37,1,436.14,2,1,3,At Risk
U1742,39,1,233.93,1,1,2,Lost
U1743,48,1,485.91,1,1,3,Lost
U1745,2,1,412.0,5,1,3,Loyal
U1746,18,5,1723.19,3,5,5,Champions
U1747,12,3,404.03,4,4,3,Loyal
U1748,13,1,446.39,4,1,3,At Risk
U1749,3,1,80.14,5,1,1,At Risk
U1750,9,1,434.22,4,1,3,At Risk
U1751,44,1,214.38,1,1,1,Lost
U1752,60,1,327.86,1,1,2,Lost
U1753,7,3,543.4200000000001,5,4,4,Champions
U1754,26,2,495.47999999999996,2,3,3,At Risk
U1755,28,2,525.11,2,3,4,Loyal
